CLAIMNUM,STATE,CLASS,PAID
30932,STATE 04,C11,746.6
31052,STATE 04,C6 ,730
18334,STATE 14,C11,726.13
7386,STATE 15,C6 ,705.76
4517,STATE 15,C6 ,698.2
31957,STATE 15,C6 ,668.74
1092,STATE 15,C6 ,659.07
8338,STATE 15,C2 ,653.18
24251,STATE 03,C6 ,636.15
18576,STATE 04,F6 ,613.65
18361,STATE 15,C6 ,610.16
12404,STATE 15,C11,591.15
34220,STATE 03,F6 ,588.19
33150,STATE 02,F6 ,582.62
24487,STATE 07,F11,551.4
13571,STATE 15,C6 ,544.11
12132,STATE 15,C6 ,540.38
9410,STATE 04,C11,527.11
18671,STATE 15,C6 ,524.69
32798,STATE 15,C6 ,500
26869,STATE 07,C6 ,477.8
2264,STATE 02,C6 ,471.35
23472,STATE 15,C6 ,470.84
31383,STATE 10,C6 ,439.45
10862,STATE 04,C11,419.92
28791,STATE 12,C11,417.97
6579,STATE 14,C6 ,404
15195,STATE 17,C6 ,394.48
19877,STATE 02,C72,393.5
23658,STATE 07,C11,386.35
26310,STATE 15,C6 ,379.28
838,STATE 01,C6 ,378.67
8748,STATE 02,C6 ,368.45
1359,STATE 15,C6 ,362.46
21379,STATE 15,C1 ,360.83
10129,STATE 04,C6 ,332.72
33662,STATE 02,C11,331.57
27296,STATE 07,F6 ,312.7
14806,STATE 12,C6 ,309.67
5359,STATE 17,C71,292.44
1607,STATE 10,C11,267.68
2991,STATE 17,C11,265.23
6642,STATE 07,C11,264.91
28791,STATE 15,C7B,261.64
1339,STATE 02,C1B,260.56
33883,STATE 15,C11,248.69
32751,STATE 15,F11,243.38
2568,STATE 15,C6 ,235.51
32386,STATE 12,C1 ,225.16
2063,STATE 07,F11,224.66
6419,STATE 02,C11,221.7
24951,STATE 10,C1 ,221.04
18255,STATE 07,C6 ,217.44
30384,STATE 13,C11,217.21
33841,STATE 03,C11,210
28137,STATE 12,C11,195
16727,STATE 04,C6 ,189.57
21766,STATE 07,C6 ,187.73
9653,STATE 17,C6 ,171.35
26677,STATE 02,C1 ,162.59
21533,STATE 15,C1 ,150.95
19414,STATE 04,C6 ,137.1
3668,STATE 15,C1 ,123.92
20071,STATE 15,C1 ,120.76
17416,STATE 10,C6 ,111.3
24062,STATE 15,C6 ,103.75
14101,STATE 15,C6 ,98.22
24758,STATE 15,C6 ,96.45
18913,STATE 04,F6 ,75
13957,STATE 07,C6 ,51.37
34001,STATE 02,F1 ,50
28784,STATE 04,C11,50
22335,STATE 04,C11,22.55
30085,STATE 04,C6 ,20.93
16917,STATE 15,C6 ,15
7142,STATE 07,C6 ,13303.17
4184,STATE 06,C1 ,11511.72
28766,STATE 02,C11,8034.83
10545,STATE 03,C6 ,7751.01
31125,STATE 15,C71,7135.59
19263,STATE 15,C11,6768.71
33015,STATE 12,C6 ,6593.17
30033,STATE 15,C11,6463.21
7647,STATE 06,C6 ,6267.53
11332,STATE 02,C6 ,6210.66
9186,STATE 17,C6 ,6090.02
11713,STATE 06,C1 ,5812.6
23148,STATE 15,C1 ,5344.67
30384,STATE 15,F11,5175.2
31389,STATE 04,C11,4924.74
21112,STATE 06,C6 ,4635.37
5376,STATE 06,C7 ,4543.95
26506,STATE 01,F11,3872.81
17275,STATE 15,C6 ,3806.45
18523,STATE 15,C6 ,3510.27
19933,STATE 04,C6 ,3387.75
3067,STATE 15,C11,3103.56
250,STATE 15,F11,2978.34
16543,STATE 02,C6 ,2968.49
29702,STATE 07,C11,2960.83
25516,STATE 03,C6 ,2909.74
20894,STATE 15,C6 ,2718.87
8723,STATE 04,F6 ,2570.92
21310,STATE 17,C11,2489.27
20695,STATE 04,C11,2436.6
25732,STATE 07,F6 ,2390
14859,STATE 15,C6 ,2299.2
19826,STATE 06,C1 ,2274.7
28341,STATE 15,C11,2194.43
33865,STATE 13,F11,2152.38
4465,STATE 13,C1B,2097.21
14357,STATE 15,C7 ,1945.2
14186,STATE 03,C6 ,1881.4
27248,STATE 15,C1A,1837.28
21841,STATE 15,C1 ,1824.53
20487,STATE 04,C1B,1812.15
25401,STATE 02,C6 ,1765.57
26325,STATE 04,C71,1727.33
31752,STATE 10,C6 ,1700.22
15429,STATE 15,C6 ,1676.39
12131,STATE 02,C6 ,1676
28737,STATE 06,C1 ,1655.87
4409,STATE 17,C11,1643.5
21310,STATE 14,F6 ,1627
17403,STATE 02,C7 ,1618.47
21112,STATE 12,C6 ,1578.3
32022,STATE 02,C6 ,1505.43
4799,STATE 15,C11,1484.96
4929,STATE 15,C11,1424.51
18647,STATE 02,C6 ,1379.86
22136,STATE 02,C11,1364.79
4517,STATE 15,C6 ,1362.3
2063,STATE 02,C6 ,1353.43
21426,STATE 02,F6 ,1331.73
12821,STATE 13,C6 ,1308.64
24062,STATE 15,C6 ,1288.68
9378,STATE 02,C11,1265.9
24228,STATE 02,C6 ,1238.87
23571,STATE 15,C1 ,1235.07
33047,STATE 15,C1 ,1217.1
9647,STATE 15,C6 ,1215.4
21976,STATE 01,C11,1206.44
19264,STATE 15,C6 ,1172.96
12239,STATE 02,C11,1153.12
30502,STATE 17,C6 ,1140.02
2958,STATE 03,C11,1114.88
9246,STATE 06,C71,1097.59
23559,STATE 06,C11,1097.41
32156,STATE 04,C6 ,1069.46
11907,STATE 02,C1 ,1031.69
16453,STATE 02,C11,1016
9553,STATE 15,C11,1015
13818,STATE 04,C7 ,1002.85
4789,STATE 02,F6 ,989.53
11030,STATE 10,C6 ,923.79
18824,STATE 15,C6 ,913.17
14831,STATE 02,C6 ,910.01
27812,STATE 03,C11,900
7218,STATE 14,C11,869.93
24306,STATE 15,C11,861.79
5208,STATE 17,C6 ,857.4
17397,STATE 02,C11,856.81
21161,STATE 12,C6 ,841.73
22114,STATE 15,C11,812.98
29273,STATE 01,C1 ,797.42
14998,STATE 06,C1 ,787.22
1415,STATE 07,C6 ,784.39
12158,STATE 15,C6 ,769.13
20278,STATE 02,C6 ,766.9
12495,STATE 15,C1B,763.66
20918,STATE 02,C11,759.15
12286,STATE 15,C1B,757.19
23020,STATE 04,C11,756.38
33250,STATE 15,C6 ,750
23901,STATE 15,C11,738.51
22766,STATE 13,C6 ,731.03
33173,STATE 14,C71,730.59
23559,STATE 04,C1 ,700
26546,STATE 15,C6 ,696.83
12920,STATE 06,C6 ,693.96
8300,STATE 15,C11,681.14
11363,STATE 15,C7 ,680.01
12847,STATE 15,F11,679.2
29447,STATE 15,C6 ,678.49
4925,STATE 07,C6 ,673.93
23404,STATE 10,C11,636.7
25562,STATE 10,C1B,629.68
27433,STATE 15,C6 ,623.89
7138,STATE 06,C6 ,597.06
162,STATE 04,C7 ,593.14
19090,STATE 12,C6 ,579.38
11269,STATE 02,C6 ,579.18
17157,STATE 02,C6 ,576.57
27798,STATE 15,C6 ,564.6
28110,STATE 13,C1 ,562.05
8336,STATE 15,C6 ,555.61
10960,STATE 15,C1 ,544.14
33883,STATE 15,C6 ,543.54
22002,STATE 15,C7 ,541.67
11456,STATE 13,C11,527.34
14489,STATE 17,C6 ,525.23
23552,STATE 17,C1B,525.14
9331,STATE 15,C1A,516.87
17732,STATE 15,C6 ,500
16842,STATE 02,C6 ,499.91
21562,STATE 04,C6 ,497.22
8529,STATE 07,C6 ,465.04
19964,STATE 06,C6 ,451.31
4248,STATE 15,C6 ,445.92
25235,STATE 02,F11,439.08
2662,STATE 04,C7 ,394
25799,STATE 17,C11,364.63
1608,STATE 01,C1 ,342.24
1970,STATE 15,C6 ,335.58
7769,STATE 04,C6 ,332.06
2599,STATE 02,C6 ,331.96
11696,STATE 15,C6 ,315.53
9604,STATE 15,C11,315
26347,STATE 17,F6 ,309.53
22886,STATE 06,C6 ,308.96
17488,STATE 06,C6 ,298.19
15551,STATE 15,C6 ,296.64
14767,STATE 04,F6 ,296.61
2314,STATE 15,C11,280.36
23151,STATE 15,C6 ,276.41
21570,STATE 02,C1 ,271.36
33742,STATE 15,C11,221.76
23016,STATE 15,C11,220.76
26070,STATE 15,C6 ,216.67
16126,STATE 02,C6 ,151.75
24106,STATE 15,F6 ,111.99
32222,STATE 06,C11,87
27260,STATE 02,C11,10
8938,STATE 10,C7B,21404.96
7160,STATE 06,C7B,19348.67
23963,STATE 15,C71,17381.23
5208,STATE 15,C1 ,14958.11
19686,STATE 06,C1 ,13835.56
19480,STATE 03,C71,10527.4
4708,STATE 15,C7 ,8899.39
22190,STATE 02,F71,8785.14
23098,STATE 07,C7 ,7851.75
9134,STATE 06,C1 ,7751.55
14992,STATE 15,C71,7240.46
9714,STATE 17,C71,6686.93
13249,STATE 15,C7A,5711.53
838,STATE 02,C7 ,5705.38
23571,STATE 15,C72,4784.73
25417,STATE 12,C11,4140.34
10564,STATE 07,C7 ,3804.44
33033,STATE 06,C7B,3760.07
2758,STATE 04,C7 ,3649.93
30759,STATE 02,C7B,3100.86
26347,STATE 15,C7 ,3000
1784,STATE 12,C1 ,2839.35
1366,STATE 15,C7 ,2819.38
5,STATE 15,C71,2757.83
1078,STATE 02,C1B,2664.91
33617,STATE 15,C1 ,2604.35
19875,STATE 15,C7 ,2565.84
14831,STATE 13,C7 ,2498.83
23795,STATE 02,F7 ,2498.36
6368,STATE 04,C71,2390.4
33742,STATE 15,C7 ,2261.71
4202,STATE 13,C1 ,2221.87
29075,STATE 15,C7 ,2139.9
24295,STATE 02,C11,2098.31
5748,STATE 15,C71,2000
12286,STATE 17,C7 ,1908.4
1530,STATE 03,C11,1815.31
14329,STATE 12,C72,1708.23
2020,STATE 03,C1 ,1642.47
14565,STATE 17,C71,1639.82
30436,STATE 04,C71,1600
30791,STATE 10,C71,1588.1
17732,STATE 02,F71,1556.03
3902,STATE 02,C1 ,1505.2
7999,STATE 06,C7 ,1500.48
32118,STATE 04,C71,1470.11
19414,STATE 15,F71,1460.86
10960,STATE 15,C71,1428
22376,STATE 02,F71,1412
24228,STATE 06,C71,1400.07
7769,STATE 01,C71,1397.89
15528,STATE 15,C1B,1388.57
32118,STATE 03,C71,1363.23
22838,STATE 01,C71,1347.91
19578,STATE 04,C72,1308.68
6234,STATE 07,C7 ,1292.04
18318,STATE 15,C1 ,1273.97
31507,STATE 03,C71,1232.48
22886,STATE 15,C7 ,1200
23548,STATE 01,C1 ,1132.41
21633,STATE 02,C7 ,1124.34
2991,STATE 04,C7 ,1113.37
640,STATE 15,C71,1100
27718,STATE 15,F1 ,1078.04
16462,STATE 12,C7 ,1007.6
24706,STATE 15,F7 ,998.93
4925,STATE 06,C1 ,998.69
16556,STATE 02,C11,993.19
17185,STATE 15,C11,986.4
23675,STATE 02,C11,975.5
26070,STATE 04,C71,972.95
2599,STATE 02,C71,964.22
12250,STATE 14,F71,948.7
19090,STATE 03,C71,931.33
30498,STATE 07,C7 ,905.03
4296,STATE 03,C11,898.55
24754,STATE 13,C1B,843.56
28209,STATE 15,C1 ,841.13
25150,STATE 02,C1 ,834.82
581,STATE 15,C1 ,822.1
30908,STATE 14,C7 ,812.89
32784,STATE 15,C11,798.43
19627,STATE 04,C7 ,784.78
29440,STATE 15,C1 ,762.22
31998,STATE 17,C71,761.22
2846,STATE 14,C1 ,754.56
12944,STATE 15,C71,733.64
16709,STATE 07,C7 ,724.08
27954,STATE 06,C1 ,710.2
16958,STATE 15,F1 ,707.61
19212,STATE 01,F7 ,707.4
8939,STATE 10,C11,685.71
27843,STATE 06,C7 ,683.06
34085,STATE 04,C71,675.47
23879,STATE 02,C71,674.7
16330,STATE 02,C71,667
3572,STATE 02,C7 ,646.16
1740,STATE 15,C7 ,622.53
13818,STATE 17,C71,620.8
18142,STATE 06,C1 ,611.58
23748,STATE 04,C71,610.66
19232,STATE 06,C1 ,608.88
17539,STATE 15,F11,604.95
33185,STATE 15,C2 ,600.59
2002,STATE 15,C71,587.51
26270,STATE 17,C71,580.48
11030,STATE 14,F71,569.8
23092,STATE 17,C7 ,532.14
8723,STATE 13,C7 ,498.42
7779,STATE 15,C11,494.21
27405,STATE 04,C71,490.25
15589,STATE 17,C7 ,489.73
2309,STATE 15,C7 ,479.66
24933,STATE 01,C11,472.72
33244,STATE 15,C7 ,465.5
18683,STATE 10,C71,460.22
9704,STATE 17,C7B,457.31
2616,STATE 04,C71,446.57
23380,STATE 15,C72,426.3
2691,STATE 06,C1 ,425.76
11030,STATE 03,C11,396.76
22582,STATE 15,C11,376.06
14279,STATE 12,C1B,369.59
29609,STATE 04,C7 ,354.86
7667,STATE 15,C1 ,329.91
9811,STATE 15,C1 ,316.5
25020,STATE 10,C7 ,295.69
29558,STATE 04,C71,280.45
8300,STATE 15,C71,272.83
33882,STATE 02,C1 ,272.01
22108,STATE 15,C11,268.6
700,STATE 04,C7 ,258.5
9223,STATE 04,C71,254.2
22873,STATE 15,C7 ,252
7748,STATE 06,C71,246.96
32905,STATE 14,F11,237.39
9827,STATE 14,C7 ,191.09
20050,STATE 15,F71,172.95
1078,STATE 15,F71,170.46
27551,STATE 15,C71,149.63
7972,STATE 01,C7 ,111.56
23963,STATE 02,C1 ,64
19477,STATE 15,C1 ,53.98
27551,STATE 17,C7 ,50
20264,STATE 07,C7 ,60000
31383,STATE 02,C11,17240.81
23901,STATE 15,C71,15210.32
34050,STATE 10,C7 ,11392.59
4970,STATE 04,C7 ,9872.23
9407,STATE 06,C7 ,9756.78
21103,STATE 02,C7 ,8866.14
9252,STATE 01,C7 ,7523.88
2092,STATE 15,C7 ,5638.67
136,STATE 06,C1 ,4643.8
32994,STATE 02,C7 ,4619
19293,STATE 13,C1 ,4592.5
32784,STATE 03,C71,4586
18271,STATE 15,C1 ,4161.48
5928,STATE 15,C7 ,4016.56
29187,STATE 15,C7A,4000
26546,STATE 12,C11,3864.06
16445,STATE 15,C1 ,3741.14
22361,STATE 17,C71,3725.26
5208,STATE 17,C7B,3523.9
29609,STATE 15,C1 ,3500
7135,STATE 17,C71,3437.17
27897,STATE 10,F1 ,3401.33
1743,STATE 12,C11,3123.61
13571,STATE 01,C71,3064.5
4231,STATE 10,C7B,3007.96
5949,STATE 15,C11,2963.39
19882,STATE 06,C71,2848.08
1359,STATE 17,C7 ,2773.08
136,STATE 02,C1 ,2533
15432,STATE 07,F71,2431.79
34253,STATE 06,C1 ,2378.85
26383,STATE 15,C7 ,2235.69
14565,STATE 13,C7B,2202.5
32961,STATE 10,F7 ,2192.98
18674,STATE 14,F7 ,2182.08
22286,STATE 15,F71,2143.83
12250,STATE 02,C1B,2066.24
13491,STATE 13,C71,2061.95
33137,STATE 02,C7 ,2025
22190,STATE 03,C7 ,2003.4
16100,STATE 06,C11,1888.25
28368,STATE 04,C7 ,1863.54
26032,STATE 17,C71,1856.45
6105,STATE 02,C7 ,1821.66
20990,STATE 10,C71,1752.16
12131,STATE 02,F11,1731
334,STATE 12,C11,1709.08
19795,STATE 15,C11,1686.2
10564,STATE 15,C1A,1650
1918,STATE 04,C71,1648.41
7605,STATE 15,C1 ,1613.75
8938,STATE 15,C71,1601.01
19875,STATE 06,C71,1599.07
5748,STATE 15,C71,1592.26
2616,STATE 15,C11,1552.37
766,STATE 15,C7B,1548
24954,STATE 10,C1 ,1543.88
23098,STATE 15,C7B,1502.55
8831,STATE 15,C71,1441.86
34204,STATE 15,C11,1430.52
32388,STATE 12,C2 ,1428.87
3699,STATE 06,C71,1424.07
26372,STATE 17,C71,1381.16
15429,STATE 15,C7 ,1376.59
28551,STATE 12,C11,1346.31
14610,STATE 02,C1 ,1342.04
17187,STATE 04,C7 ,1336.26
18063,STATE 17,C71,1251.4
29447,STATE 02,C7 ,1248.01
2755,STATE 04,C71,1194.82
33687,STATE 15,C11,1160.5
17726,STATE 15,C7 ,1136.97
31816,STATE 06,C1 ,1117.99
3324,STATE 03,C1 ,1117.82
5376,STATE 15,C2 ,1112.54
11272,STATE 03,C11,1085
2388,STATE 04,C7B,1079.39
32594,STATE 01,C7 ,1065.7
16353,STATE 04,C7 ,1058.27
4231,STATE 15,C1 ,1047.49
33150,STATE 02,C71,1036.1
33307,STATE 17,C71,990.86
15931,STATE 14,C11,958.45
22942,STATE 14,C71,950.61
4184,STATE 15,C1 ,947.71
13236,STATE 06,C1B,945.56
13304,STATE 15,C1 ,945.39
13334,STATE 12,C1 ,943.31
14366,STATE 03,C71,935.17
852,STATE 04,C7 ,902.1
32036,STATE 15,C1 ,900
30384,STATE 13,C71,883.75
4196,STATE 06,C1 ,880.82
29609,STATE 15,C11,880.2
2121,STATE 15,C71,875.28
26989,STATE 10,C71,871.16
13013,STATE 15,F1 ,863.43
26023,STATE 02,C7 ,858.42
26572,STATE 04,C7 ,851.49
11296,STATE 17,C71,835.05
16532,STATE 15,C7B,800
2568,STATE 15,C7B,787.04
23963,STATE 11,C7B,783.53
12980,STATE 06,C1 ,742.15
10758,STATE 02,C1 ,731.35
23658,STATE 15,C71,728.53
28110,STATE 14,C71,713.55
29884,STATE 17,C7 ,701.89
12544,STATE 02,C71,698.49
9806,STATE 15,C7A,695.53
10870,STATE 15,C71,690.92
17373,STATE 17,C7 ,689.11
33587,STATE 15,C1B,685
24821,STATE 14,F7 ,675
1607,STATE 15,C71,673.51
6323,STATE 06,C11,672.31
18847,STATE 15,C7 ,663.91
21562,STATE 03,C1 ,656.93
7779,STATE 15,C1 ,654.75
24106,STATE 15,C71,651.09
23524,STATE 04,C71,645.8
2896,STATE 04,C71,642.82
11696,STATE 06,C71,633.79
25010,STATE 15,C1 ,626.38
8570,STATE 17,C7B,624.26
24233,STATE 02,C1 ,623.89
10206,STATE 06,C7 ,617.4
5928,STATE 15,C71,609.74
19964,STATE 15,C11,606.36
28519,STATE 02,C11,596.99
972,STATE 07,C7 ,585.36
5,STATE 15,C71,573.4
5718,STATE 02,C7A,559
2264,STATE 15,C7B,552.16
11696,STATE 15,C11,548.6
9378,STATE 03,C7B,535
14831,STATE 15,C1 ,514.71
34001,STATE 15,C1 ,498.42
13013,STATE 07,F7 ,498.11
8886,STATE 04,C7B,488.23
29440,STATE 15,C11,488.16
24228,STATE 10,C7 ,484.1
19877,STATE 02,C71,460.33
19260,STATE 15,C11,458
9437,STATE 15,C71,443.95
376,STATE 03,C71,440.86
17737,STATE 17,C71,439.54
10862,STATE 13,C1 ,431.98
25152,STATE 03,C7 ,400
13304,STATE 03,C7 ,400
24385,STATE 10,C1 ,399.75
2741,STATE 02,C1 ,394.49
7999,STATE 06,C7 ,390
18773,STATE 04,C71,376.14
31719,STATE 14,C11,332.52
28987,STATE 15,C7 ,321.6
2159,STATE 15,C11,299.25
3995,STATE 17,F7 ,297.41
2123,STATE 15,C71,288.96
2846,STATE 17,C71,280.9
32036,STATE 06,C71,264.7
15704,STATE 07,C71,253.59
3147,STATE 03,F7 ,249.87
4231,STATE 15,C71,245.93
24228,STATE 15,C7 ,237.37
19826,STATE 04,C7B,234.2
23802,STATE 15,C7 ,223.23
20975,STATE 02,C7 ,209.83
26023,STATE 04,C71,172.06
97,STATE 10,C7 ,164.7
4708,STATE 04,C7 ,161.2
30791,STATE 14,C11,138.86
14998,STATE 17,C7 ,128
31141,STATE 17,C71,104.95
14351,STATE 15,F71,101.25
23129,STATE 15,C1 ,100
18523,STATE 04,F71,85.5
25214,STATE 15,C7 ,75
32182,STATE 15,C7 ,68.74
3067,STATE 15,C7 ,30
10575,STATE 04,C7 ,24624.44
16126,STATE 17,C7B,14104
8686,STATE 15,C71,9562.71
27334,STATE 06,C7 ,9234.78
4517,STATE 06,C7 ,8381.6
24750,STATE 15,C11,8123.33
14893,STATE 15,C71,7389.16
28341,STATE 15,C11,6410.64
25516,STATE 10,C71,6386.3
9252,STATE 15,C1 ,6090.75
20167,STATE 17,C7 ,5905.64
30683,STATE 15,C11,5382.57
11883,STATE 06,C7 ,5311.27
3939,STATE 06,C1 ,5158.65
28209,STATE 17,C7B,5035.93
2157,STATE 17,C7 ,5004.55
25455,STATE 13,C7 ,4689.9
20975,STATE 02,C71,4625.47
15931,STATE 12,C11,4523.97
11917,STATE 02,C1 ,4518.7
24306,STATE 06,C7B,4387.4
31998,STATE 15,C7B,4243.57
5642,STATE 12,C1B,3637.01
11308,STATE 15,C71,3594.7
32075,STATE 15,C71,3354.04
12158,STATE 02,C71,3254.87
25383,STATE 01,C71,3250
15990,STATE 06,C71,2935.61
17726,STATE 10,C7 ,2882.67
28519,STATE 10,C7 ,2786.41
2054,STATE 10,C7 ,2524.92
34166,STATE 04,C71,2370.82
12474,STATE 12,C6 ,2364.45
32118,STATE 02,C71,2364.24
24532,STATE 06,C1B,2354.21
18017,STATE 04,C7 ,2350
376,STATE 03,C1 ,2343
10960,STATE 15,C7 ,2226.66
775,STATE 15,C11,2144
12478,STATE 02,C1 ,2119.74
2662,STATE 15,C7 ,2044.59
14130,STATE 17,C7B,2017.19
28835,STATE 12,C71,1963.85
30919,STATE 04,C7 ,1846.01
5001,STATE 10,C11,1843.84
16665,STATE 01,C7 ,1843.41
15548,STATE 15,C1 ,1815.95
23548,STATE 15,C11,1815.83
9443,STATE 07,C7A,1784.47
3668,STATE 04,C7 ,1707.92
9520,STATE 06,C7 ,1695.67
15990,STATE 15,C7C,1694.59
12495,STATE 13,C7 ,1692.96
11258,STATE 15,F71,1644.78
1354,STATE 04,C7 ,1589.7
11301,STATE 15,C11,1589.45
25285,STATE 03,C1 ,1560.42
14084,STATE 15,C7 ,1501.05
66,STATE 06,C71,1402.18
11064,STATE 15,C11,1379.16
8938,STATE 04,C7 ,1369.74
3087,STATE 15,C7 ,1301.51
1590,STATE 15,C71,1246.51
5359,STATE 15,C71,1237.83
269,STATE 04,C7 ,1172.82
1339,STATE 15,C1 ,1165.76
412,STATE 15,C1 ,1152.17
18644,STATE 04,F7 ,1150.87
23472,STATE 15,C71,1144.04
3915,STATE 04,C7 ,1060.6
16709,STATE 14,C1 ,1054.03
16453,STATE 06,C7 ,1050
3305,STATE 04,C7A,1048.69
22962,STATE 06,C1B,1046.32
17416,STATE 02,C1 ,1000
10256,STATE 03,C7B,1000
23879,STATE 15,C11,983.48
30594,STATE 04,C7B,968.31
5287,STATE 15,C7 ,961.54
14375,STATE 04,C71,946.38
21839,STATE 15,C11,924.7
11258,STATE 15,C71,918.99
18204,STATE 15,C72,914.26
21354,STATE 02,C1 ,897.96
19795,STATE 01,C1 ,874.67
31962,STATE 02,C1 ,866.26
19895,STATE 10,C7 ,847.65
23795,STATE 06,C7 ,846.39
19228,STATE 06,C7B,834.83
1671,STATE 13,C71,825.66
13930,STATE 15,C1 ,817.5
20050,STATE 02,C7 ,797.92
25435,STATE 06,C1 ,797.06
30908,STATE 15,C1 ,774.88
5410,STATE 02,C71,764.19
17707,STATE 02,C7 ,749.38
7919,STATE 02,C11,748.45
13334,STATE 15,C1C,692.37
26534,STATE 17,C7 ,682.85
31752,STATE 10,C11,677.66
10129,STATE 15,C7 ,676
26239,STATE 15,C1 ,670.27
6869,STATE 15,F7 ,658.28
31050,STATE 15,C1 ,647.18
2470,STATE 17,C71,604.95
22002,STATE 04,C7 ,585.34
4231,STATE 06,C1 ,568.02
2496,STATE 02,C1 ,565.02
19260,STATE 15,C11,559.98
2256,STATE 07,C71,550
2028,STATE 15,C71,539.26
11308,STATE 07,F71,529.28
11579,STATE 15,C11,518.95
2159,STATE 15,C1 ,513.66
22318,STATE 07,C71,499.18
7005,STATE 10,C1 ,491.87
11450,STATE 15,C11,471.03
9197,STATE 02,C1 ,464.51
18698,STATE 02,C7 ,456.87
6368,STATE 03,C71,440.87
25902,STATE 02,F7 ,437.38
5730,STATE 04,C7 ,436.87
10117,STATE 04,C71,401.05
29762,STATE 10,C1 ,398.2
8826,STATE 15,C11,388.03
5176,STATE 15,C7 ,386.96
18501,STATE 17,C71,386.12
17841,STATE 15,C72,377.54
14517,STATE 14,C1 ,374.71
20900,STATE 17,C7 ,357.94
25562,STATE 02,C7 ,356.9
838,STATE 15,C71,356.06
3087,STATE 01,C7 ,348.75
19796,STATE 15,C7 ,344.66
22446,STATE 04,C7A,340.34
8529,STATE 15,C71,326.4
28954,STATE 15,C11,321.73
21112,STATE 06,C11,320.56
972,STATE 15,C71,320.27
13753,STATE 15,C11,316
9555,STATE 04,C71,310.17
33168,STATE 12,C1B,309.77
2121,STATE 07,C7 ,303
29133,STATE 06,C1 ,300
32056,STATE 02,C7B,298.52
30594,STATE 10,C71,262.08
2023,STATE 15,C71,200
14697,STATE 15,C1 ,198.98
16445,STATE 15,C11,174.71
21103,STATE 02,C7 ,148.39
24951,STATE 12,C71,135
18671,STATE 15,F7 ,128.18
685,STATE 02,C7 ,127.09
700,STATE 17,C71,70.98
8846,STATE 04,C71,49.95
26239,STATE 15,C11,47.52
20471,STATE 02,C7 ,23231.54
8846,STATE 15,C1A,11458.07
7723,STATE 15,C7A,9112.54
250,STATE 10,C71,8969.76
17286,STATE 15,C1 ,8300.31
22923,STATE 12,C7 ,7827.74
34210,STATE 01,F71,6594.66
23893,STATE 07,C7 ,6261.92
162,STATE 07,C7B,5861.5
8723,STATE 06,C72,5624.94
26345,STATE 03,C7 ,5381.14
31507,STATE 15,C11,4808.51
10993,STATE 02,C7 ,4532.02
32120,STATE 10,C11,4495.48
20487,STATE 02,F7 ,4263.99
29162,STATE 17,C7 ,4229
6234,STATE 01,F71,3887.76
25475,STATE 10,C1 ,3864.39
18576,STATE 06,C7A,3697.38
19614,STATE 04,C7 ,3656.77
3067,STATE 04,C7B,3404.82
8434,STATE 02,C71,3348.34
2013,STATE 06,C7B,3140.79
22942,STATE 12,C11,3008.21
26580,STATE 06,C7 ,2945.63
18334,STATE 02,C11,2928.92
31408,STATE 02,C71,2688.04
5208,STATE 03,C11,2547.5
18644,STATE 15,C71,2545.12
7667,STATE 01,C1 ,2496.15
581,STATE 15,C7B,2407.52
17709,STATE 03,C1A,2300.04
30908,STATE 04,C71,2276.5
5900,STATE 04,C71,2200.63
4296,STATE 02,C1 ,2194.65
4517,STATE 06,C7C,2180.31
12980,STATE 03,C11,2170.84
32594,STATE 02,C1 ,2129.17
9331,STATE 04,C7 ,2106.39
20755,STATE 02,C1 ,2102.34
20141,STATE 17,C71,2096.64
2159,STATE 15,C71,2064.12
19877,STATE 17,C71,2062.48
5208,STATE 02,C7 ,2017.28
17403,STATE 17,C7 ,1977.88
5382,STATE 04,C7 ,1918.8
9553,STATE 17,C7 ,1845.23
22942,STATE 17,C71,1761.6
21369,STATE 15,C71,1761.25
20677,STATE 15,C11,1730.61
20907,STATE 13,C7 ,1695.14
9758,STATE 02,C71,1678.17
5639,STATE 02,C11,1651.86
14893,STATE 15,C71,1646.25
7671,STATE 07,C71,1638.31
23471,STATE 13,C2 ,1609.5
4707,STATE 15,C7B,1482.45
31125,STATE 02,C1 ,1480.93
23658,STATE 10,C11,1475.42
14893,STATE 15,C7A,1455.9
13233,STATE 14,C7 ,1454.96
24933,STATE 04,C71,1441.56
10288,STATE 02,C1 ,1432.32
7667,STATE 15,C1 ,1404.71
32388,STATE 06,C1 ,1355.5
16445,STATE 02,C7 ,1348.93
18950,STATE 15,C7A,1288
4695,STATE 06,C11,1253.03
26379,STATE 07,C7 ,1238.2
16585,STATE 07,C7 ,1216.8
33015,STATE 02,C7 ,1211.25
2159,STATE 14,C71,1189.96
19330,STATE 15,C11,1164.3
25562,STATE 02,C11,1113.94
11696,STATE 15,C11,1112.19
9792,STATE 17,C71,1090.41
26270,STATE 14,C7 ,1075.68
3324,STATE 17,C71,1040.42
12474,STATE 15,C71,979.54
30782,STATE 02,F1 ,940.28
25020,STATE 02,C1 ,925.47
8416,STATE 03,C7 ,925
19293,STATE 15,C1B,905.7
16379,STATE 03,C7 ,886.45
23200,STATE 06,C1 ,882.54
14050,STATE 07,C71,875.6
27812,STATE 15,C7 ,862.02
3446,STATE 15,C11,852.22
16917,STATE 03,C1 ,850
30932,STATE 06,C71,850
